;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_criterion;param_max_depth;param_max_features;param_n_estimators;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;split5_test_score;split6_test_score;split7_test_score;split8_test_score;split9_test_score;split10_test_score;split11_test_score;split12_test_score;split13_test_score;split14_test_score;split15_test_score;split16_test_score;split17_test_score;split18_test_score;split19_test_score;split20_test_score;split21_test_score;split22_test_score;split23_test_score;split24_test_score;mean_test_score;std_test_score;rank_test_score
43;1.577.393.328.666.680;0.8314537774825976;0.2652271366119385;0.034922629022152415;entropy;20;sqrt;1000;{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 1000};0.6015228426395939;0.6091370558375635;0.631979695431472;0.6446700507614214;0.6446700507614214;0.6015228426395939;0.583756345177665;0.5964467005076142;0.6446700507614214;0.6040609137055838;0.5939086294416244;0.6370558375634517;0.616751269035533;0.6132315521628499;0.6183206106870229;0.6005089058524173;0.5903307888040712;0.6335877862595419;0.6132315521628499;0.6081424936386769;0.5801526717557252;0.6081424936386769;0.6590330788804071;0.628498727735369;0.6335877862595419;0.6158768292840443;0.02062858545703447;1
47;16.239.455.823.898.300;12.207.547.176.306.100;0.2764820671081543;0.05229460475877489;entropy;20;log2;1000;{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'log2', 'n_estimators': 1000};0.6015228426395939;0.6091370558375635;0.631979695431472;0.6446700507614214;0.6446700507614214;0.6015228426395939;0.583756345177665;0.5964467005076142;0.6446700507614214;0.6040609137055838;0.5939086294416244;0.6370558375634517;0.616751269035533;0.6132315521628499;0.6183206106870229;0.6005089058524173;0.5903307888040712;0.6335877862595419;0.6132315521628499;0.6081424936386769;0.5801526717557252;0.6081424936386769;0.6590330788804071;0.628498727735369;0.6335877862595419;0.6158768292840443;0.02062858545703447;1
51;15.653.265.733.718.800;20.361.894.298.865.300;0.25867002487182617;0.0324950228688428;entropy;20;sqrt;1000;{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 1000};0.6015228426395939;0.6091370558375635;0.631979695431472;0.6446700507614214;0.6446700507614214;0.6015228426395939;0.583756345177665;0.5964467005076142;0.6446700507614214;0.6040609137055838;0.5939086294416244;0.6370558375634517;0.616751269035533;0.6132315521628499;0.6183206106870229;0.6005089058524173;0.5903307888040712;0.6335877862595419;0.6132315521628499;0.6081424936386769;0.5801526717557252;0.6081424936386769;0.6590330788804071;0.628498727735369;0.6335877862595419;0.6158768292840443;0.02062858545703447;1
55;1.986.798.399.925.230;7.539.801.951.433.490;0.3216093444824219;0.16588938098668413;entropy;20;log2;1000;{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'log2', 'n_estimators': 1000};0.6015228426395939;0.6091370558375635;0.631979695431472;0.6446700507614214;0.6446700507614214;0.6015228426395939;0.583756345177665;0.5964467005076142;0.6446700507614214;0.6040609137055838;0.5939086294416244;0.6370558375634517;0.616751269035533;0.6132315521628499;0.6183206106870229;0.6005089058524173;0.5903307888040712;0.6335877862595419;0.6132315521628499;0.6081424936386769;0.5801526717557252;0.6081424936386769;0.6590330788804071;0.628498727735369;0.6335877862595419;0.6158768292840443;0.02062858545703447;1
41;3.776.175.184.249.870;0.20304083274687276;0.07277658462524414;0.026002279277377707;entropy;20;sqrt;250;{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 250};0.6091370558375635;0.6091370558375635;0.6269035532994924;0.6218274111675127;0.6421319796954315;0.5989847715736041;0.5964467005076142;0.5964467005076142;0.6446700507614214;0.6065989847715736;0.6040609137055838;0.6345177664974619;0.616751269035533;0.6132315521628499;0.638676844783715;0.6081424936386769;0.5801526717557252;0.628498727735369;0.5928753180661578;0.6132315521628499;0.5877862595419847;0.6055979643765903;0.648854961832061;0.6183206106870229;0.638676844783715;0.6152664005889875;0.018371300501064478;5
45;39.726.070.404.052.700;0.3543780732875156;0.06929556846618652;0.014254766647895127;entropy;20;log2;250;{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'log2', 'n_estimators': 250};0.6091370558375635;0.6091370558375635;0.6269035532994924;0.6218274111675127;0.6421319796954315;0.5989847715736041;0.5964467005076142;0.5964467005076142;0.6446700507614214;0.6065989847715736;0.6040609137055838;0.6345177664974619;0.616751269035533;0.6132315521628499;0.638676844783715;0.6081424936386769;0.5801526717557252;0.628498727735369;0.5928753180661578;0.6132315521628499;0.5877862595419847;0.6055979643765903;0.648854961832061;0.6183206106870229;0.638676844783715;0.6152664005889875;0.018371300501064478;5
49;3.943.357.467.651.360;0.288893722754921;0.07080642700195312;0.018874093158493515;entropy;20;sqrt;250;{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 250};0.6091370558375635;0.6091370558375635;0.6269035532994924;0.6218274111675127;0.6421319796954315;0.5989847715736041;0.5964467005076142;0.5964467005076142;0.6446700507614214;0.6065989847715736;0.6040609137055838;0.6345177664974619;0.616751269035533;0.6132315521628499;0.638676844783715;0.6081424936386769;0.5801526717557252;0.628498727735369;0.5928753180661578;0.6132315521628499;0.5877862595419847;0.6055979643765903;0.648854961832061;0.6183206106870229;0.638676844783715;0.6152664005889875;0.018371300501064478;5
53;486.529.125.213.623;12.460.562.136.306.700;0.08437605857849122;0.04014952888477794;entropy;20;log2;250;{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'log2', 'n_estimators': 250};0.6091370558375635;0.6091370558375635;0.6269035532994924;0.6218274111675127;0.6421319796954315;0.5989847715736041;0.5964467005076142;0.5964467005076142;0.6446700507614214;0.6065989847715736;0.6040609137055838;0.6345177664974619;0.616751269035533;0.6132315521628499;0.638676844783715;0.6081424936386769;0.5801526717557252;0.628498727735369;0.5928753180661578;0.6132315521628499;0.5877862595419847;0.6055979643765903;0.648854961832061;0.6183206106870229;0.638676844783715;0.6152664005889875;0.018371300501064478;5
11;14.051.704.931.259.100;0.5772404537787117;0.2834706497192383;0.05846937557443139;gini;20;sqrt;1000;{'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 1000};0.5964467005076142;0.616751269035533;0.6243654822335025;0.631979695431472;0.6269035532994924;0.5862944162436549;0.5761421319796954;0.5964467005076142;0.6294416243654822;0.6091370558375635;0.5913705583756346;0.6395939086294417;0.6091370558375635;0.628498727735369;0.6361323155216285;0.6030534351145038;0.5725190839694656;0.6259541984732825;0.6310432569974554;0.6055979643765903;0.5954198473282443;0.6157760814249363;0.6310432569974554;0.638676844783715;0.6361323155216285;0.6141542992211415;0.019653268304463165;9
15;12.938.200.902.938.800;0.3403836748081789;0.25533504486083985;0.03840006902675625;gini;20;log2;1000;{'criterion': 'gini', 'max_depth': 20, 'max_features': 'log2', 'n_estimators': 1000};0.5964467005076142;0.616751269035533;0.6243654822335025;0.631979695431472;0.6269035532994924;0.5862944162436549;0.5761421319796954;0.5964467005076142;0.6294416243654822;0.6091370558375635;0.5913705583756346;0.6395939086294417;0.6091370558375635;0.628498727735369;0.6361323155216285;0.6030534351145038;0.5725190839694656;0.6259541984732825;0.6310432569974554;0.6055979643765903;0.5954198473282443;0.6157760814249363;0.6310432569974554;0.638676844783715;0.6361323155216285;0.6141542992211415;0.019653268304463165;9
